geoid,median_income,pct_housing_pre_1950,poverty_rate,children_under_6_rate,minority_share,median_housing_year,acs_year
340010001001,38200.0,0.4460431654676259,,0.05668016194331984,0.7398785425101215,1956.0,2022
340010001002,49792.0,0.2547993019197208,,0.02800294767870302,0.6308032424465733,1958.0,2022
340010002001,35530.0,0.41935483870967744,,0.034836980794997766,0.6051808843233586,1954.0,2022
340010002002,48600.0,0.8328767123287671,,0.0364963503649635,0.7858880778588808,1938.0,2022
340010002003,105577.0,0.37003058103975534,,0.0,0.1345108695652174,1962.0,2022
340010003001,58808.0,0.769620253164557,,0.059154929577464786,0.923943661971831,1938.0,2022
340010003002,41625.0,0.5937961595273265,,0.16114180478821363,0.7868324125230203,1938.0,2022
340010003003,58182.0,0.4146341463414634,,0.044444444444444446,0.6128654970760234,1960.0,2022
340010004001,33666.0,0.3368121442125237,,0.02607232968881413,0.49369217830109335,1965.0,2022
340010004002,36220.0,0.6222760290556901,,0.14993804213135067,0.6022304832713754,1938.0,2022
340010004003,32000.0,0.6788079470198676,,0.0,0.8331257783312578,1938.0,2022
340010005001,57803.0,0.7127659574468085,,0.08561643835616438,0.8584474885844748,1938.0,2022
340010005002,41976.0,0.8014941302027748,,0.06925207756232687,0.8818097876269622,1938.0,2022
340010011001,,0.3080110497237569,,0.04493464052287582,0.9436274509803921,1976.0,2022
340010011002,,0.3146997929606625,,0.0,0.8561278863232682,1963.0,2022
340010012001,,0.38009049773755654,,0.06679574056147145,0.9990319457889641,1953.0,2022
340010012002,48214.0,0.2702205882352941,,0.017421602787456445,0.9767711962833914,1956.0,2022
340010012003,36694.0,0.5741935483870968,,0.0989247311827957,0.4946236559139785,1938.0,2022
340010013001,50227.0,0.47491638795986624,,0.0,0.9177777777777778,1953.0,2022
340010013002,46402.0,0.20261437908496732,,0.037063953488372096,0.846656976744186,1975.0,2022
340010014001,14840.0,0.12746858168761221,,0.254724111866969,0.8155706727135299,1978.0,2022
340010014002,71458.0,0.7076167076167076,,0.14636752136752137,0.7200854700854701,1938.0,2022
340010014003,24788.0,0.35861182519280205,,0.1501779359430605,0.9544483985765124,1960.0,2022
340010015001,19205.0,0.11975116640746501,,0.0,0.8735955056179775,1979.0,2022
340010015002,18894.0,0.19444444444444445,,0.0,0.8533834586466166,1976.0,2022
340010019001,47682.0,0.05631399317406143,,0.147396293027361,0.8137687555163283,1982.0,2022
340010019002,28348.0,0.46408839779005523,,0.0,0.4607438016528925,1953.0,2022
340010023001,41964.0,0.6036745406824147,,0.22410714285714287,0.9508928571428571,1944.0,2022
340010023002,41922.0,0.5807799442896936,,0.027712264150943397,0.8077830188679245,1938.0,2022
340010024001,,0.5747663551401869,,0.342512908777969,1.0,1938.0,2022
340010024002,23464.0,0.4206989247311828,,0.0,0.41874999999999996,1960.0,2022
340010024003,,0.9366515837104072,,0.08718861209964412,0.7953736654804271,1938.0,2022
340010024004,,0.43059490084985835,,0.03110273327049953,0.8982092365692743,1954.0,2022
340010025001,41625.0,0.2911392405063291,,0.0,0.9727126805778491,1985.0,2022
340010025002,25521.0,0.06172839506172839,,0.09879963065558633,0.6860572483841182,1979.0,2022
340010025003,49485.0,0.0,,0.0,0.8414239482200647,1997.0,2022
340010025004,21046.0,0.09293089753772836,,0.0,0.6922639362912401,1991.0,2022
340010101011,147875.0,0.06845238095238096,,0.0576271186440678,0.12203389830508471,1982.0,2022
340010101012,105714.0,0.007371007371007371,,0.0631163708086785,0.2544378698224852,1980.0,2022
340010101013,140135.0,0.11450381679389313,,0.010706638115631691,0.19771591720199855,1979.0,2022
340010101014,113636.0,0.0,,0.03731343283582089,0.016791044776119368,1986.0,2022
340010101021,127000.0,0.06666666666666667,,0.0,0.0,1969.0,2022
340010101022,,0.07262569832402235,,0.011363636363636364,0.014204545454545414,1959.0,2022
340010101023,104423.0,0.2971014492753623,,0.04294478527607362,0.15541922290388543,1957.0,2022
340010101041,46250.0,0.1752988047808765,,0.0,0.12943632567849683,1976.0,2022
340010101042,108047.0,0.059233449477351915,,0.005050505050505051,0.04882154882154888,1976.0,2022
340010101051,75000.0,0.0,,0.035211267605633804,0.125,1985.0,2022
340010101052,32313.0,0.0,,0.010115606936416185,0.5404624277456647,1981.0,2022
340010101053,91010.0,0.0,,0.028328611898016998,0.16572237960339942,1976.0,2022
340010102001,64678.0,0.42044517724649627,,0.10292022792022792,0.1406695156695157,1955.0,2022
340010102002,71667.0,0.11377245508982035,,0.03676470588235294,0.12377450980392157,1985.0,2022
340010102003,45156.0,0.15485564304461943,,0.10866141732283464,0.28188976377952757,1959.0,2022
340010102004,102922.0,0.0,,0.11798071469086784,0.19455473624503683,1970.0,2022
340010102005,184563.0,0.1875,,0.02091254752851711,0.07604562737642584,1968.0,2022
340010103001,83750.0,0.024193548387096774,,0.0,0.7865761689291101,1997.0,2022
340010103002,61346.0,0.3438818565400844,,0.09570957095709572,0.36798679867986794,1962.0,2022
340010104011,91974.0,0.14671814671814673,,0.06147186147186147,0.0,1967.0,2022
340010104012,117535.0,0.08947368421052632,,0.03165735567970205,0.07555200851290234,1987.0,2022
340010104013,79643.0,0.1488833746898263,,0.0,0.4626038781163435,1990.0,2022
340010104031,92588.0,0.0,,0.0,0.5789835164835164,1991.0,2022
340010104032,95800.0,0.006430868167202572,,0.10299704516673702,0.5685943436048966,1979.0,2022
340010104033,96126.0,0.051207022677395755,,0.02695871946082561,0.5785593934288121,1998.0,2022
340010105011,46361.0,0.08032128514056225,,0.0,0.1443994601889339,1985.0,2022
340010105012,129444.0,0.23214285714285715,,0.024731182795698924,0.048387096774193505,1981.0,2022
340010105013,79241.0,0.055495103373231776,,0.0,0.10587550901687026,2001.0,2022
340010105014,105000.0,0.07769591426657736,,0.024428934010152285,0.17512690355329952,1986.0,2022
340010105031,58079.0,0.0,,0.0,0.7243735763097949,1984.0,2022
340010105032,72014.0,0.0,,0.01520387007601935,0.4298548721492743,1987.0,2022
340010105033,72955.0,0.12346938775510204,,0.047619047619047616,0.6106442577030813,1986.0,2022
340010105034,80262.0,0.0,,0.0,0.42213348545350826,1992.0,2022
