geoid,s2_item_count,s2_cloud_cover_mean,s2_vegetation_pct_mean,s2_water_pct_mean,s2_nodata_pct_mean,s2_sun_elevation_mean,s2_days_since_latest,s2_source
340010001001,1.0,33.058196,13.845024,46.252894,0.0,0.0,525.0,live
340030010002,1.0,25.273371,28.642434,5.829728,19.978985,0.0,525.0,live
340050023001,1.0,19.565506,31.437704,25.478444,2.378778,0.0,525.0,live
340070045003,1.0,0.002575,68.565851,1.577507,1.3e-05,0.0,532.0,live
340090112001,1.0,33.058196,13.845024,46.252894,0.0,0.0,525.0,live
340110008002,1.0,26.486614,27.483562,29.961073,68.74215,0.0,525.0,live
